ACQUISITION TIME,MEAN TEMPERATURE
2015-08-01,293.48931884765625
2015-09-01,283.8533630371094
2015-10-01,276.8946533203125
2015-11-01,274.41336059570307
2015-12-01,271.88931274414057
2016-01-01,262.878662109375
2016-02-01,270.25332641601557
2016-03-01,273.68533325195307
2016-04-01,278.81997680664057
2016-05-01,285.9013366699219
2016-06-01,289.5199890136719
2016-07-01,288.6146545410156
2016-08-01,288.74664306640625
2016-09-01,285.4293212890625
2016-10-01,276.3480224609375
2016-11-01,271.47467041015625
2016-12-01,268.21469116210943
2017-01-01,264.5599975585937
2017-02-01,266.65731811523443
2017-03-01,273.81869506835943
2017-04-01,278.25863647460943
2017-05-01,284.4333190917969
2017-06-01,286.4599609375
2017-07-01,288.71466064453125
2017-08-01,289.9586486816406
2017-09-01,284.03863525390625
