ACQUISITION TIME,MEAN TEMPERATURE
2015-08-01,305.4200134277344
2015-09-01,295.1119689941406
2015-10-01,284.6173095703125
2015-11-01,278.82931518554693
2015-12-01,279.63601684570307
2016-01-01,267.64532470703125
2016-02-01,277.86666870117193
2016-03-01,284.50933837890625
2016-04-01,291.37200927734375
2016-05-01,298.6159973144531
2016-06-01,302.0879821777344
2016-07-01,300.9106750488281
2016-08-01,299.3213195800781
2016-09-01,297.81463623046875
2016-10-01,285.70001220703125
2016-11-01,278.72000122070307
2016-12-01,271.85464477539057
2017-01-01,268.31063842773443
2017-02-01,271.56668090820307
2017-03-01,286.9639587402344
2017-04-01,289.41998291015625
2017-05-01,297.2413330078125
2017-06-01,299.7279968261719
2017-07-01,299.12799072265625
2017-08-01,300.25732421875
2017-09-01,290.42132568359375
2017-10-01,289.12799072265625
