date0,cc1,cc2,cc3
2017-09-24,24.7706422018348,36.4238410596026,22.9946524064171
2017-10-01,22.9357798165137,25.8278145695364,20.855614973262
2017-10-08,44.0366972477064,39.7350993377483,23.5294117647058
2017-10-15,33.0275229357798,35.7615894039735,22.4598930481283
2017-10-22,33.9449541284403,29.8013245033112,29.4117647058823
2017-10-29,35.7798165137614,51.6556291390728,29.4117647058823
2017-11-05,42.2018348623853,45.6953642384106,34.2245989304812
2017-11-12,42.2018348623853,50.9933774834437,43.3155080213903
2017-11-19,40.3669724770642,51.6556291390728,50.2673796791443
2017-11-26,49.5412844036697,58.9403973509933,59.8930481283422
2017-12-03,40.3669724770642,61.5894039735099,68.9839572192513
2017-12-10,45.8715596330275,70.1986754966887,77.5401069518716
2017-12-17,31.1926605504587,53.6423841059602,50.2673796791443
